Ionic Liquid,Cation,Anion,Viscosity (Pa.s),Viscosity (mPa.s),ln_visc,Cation-SMILES,Anion-SMILES,IL_SMILES,Temp (K),Pressure (kPa),MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I
N-ethyl-N-methylmorpholinium N-acetyl-L-leucinate,N-ethyl-N-methylmorpholinium,N-acetyl-L-leucinate,5.388,5388,8.591929538,C[N+]1(CC)CCOCC1,CC(C)C[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.CC(C)C[C@@H](C(=O)[O-])NC(=O)C,298.15,101.325,C15H30N2O4,15,30,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-leucinate,N-ethyl-N-methylmorpholinium,N-acetyl-L-leucinate,2.917,2917,7.97831097,C[N+]1(CC)CCOCC1,CC(C)C[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.CC(C)C[C@@H](C(=O)[O-])NC(=O)C,303.15,101.325,C15H30N2O4,15,30,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-leucinate,N-ethyl-N-methylmorpholinium,N-acetyl-L-leucinate,1.666,1666,7.418180823,C[N+]1(CC)CCOCC1,CC(C)C[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.CC(C)C[C@@H](C(=O)[O-])NC(=O)C,308.15,101.325,C15H30N2O4,15,30,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-leucinate,N-ethyl-N-methylmorpholinium,N-acetyl-L-leucinate,1,1000,6.907755279,C[N+]1(CC)CCOCC1,CC(C)C[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.CC(C)C[C@@H](C(=O)[O-])NC(=O)C,313.15,101.325,C15H30N2O4,15,30,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-leucinate,N-ethyl-N-methylmorpholinium,N-acetyl-L-leucinate,0.624,624,6.436150368,C[N+]1(CC)CCOCC1,CC(C)C[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.CC(C)C[C@@H](C(=O)[O-])NC(=O)C,318.15,101.325,C15H30N2O4,15,30,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-isoleucinate,N-ethyl-N-methylmorpholinium,N-acetyl-L-isoleucinate,4.209,4209,8.344980369,C[N+]1(CC)CCOCC1,CC[C@H](C)[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.CC[C@H](C)[C@@H](C(=O)[O-])NC(=O)C,298.15,101.325,C15H30N2O4,15,30,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-isoleucinate,N-ethyl-N-methylmorpholinium,N-acetyl-L-isoleucinate,2.376,2376,7.77317368,C[N+]1(CC)CCOCC1,CC[C@H](C)[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.CC[C@H](C)[C@@H](C(=O)[O-])NC(=O)C,303.15,101.325,C15H30N2O4,15,30,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-isoleucinate,N-ethyl-N-methylmorpholinium,N-acetyl-L-isoleucinate,1.406,1406,7.248504072,C[N+]1(CC)CCOCC1,CC[C@H](C)[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.CC[C@H](C)[C@@H](C(=O)[O-])NC(=O)C,308.15,101.325,C15H30N2O4,15,30,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-isoleucinate,N-ethyl-N-methylmorpholinium,N-acetyl-L-isoleucinate,0.867,867,6.765038977,C[N+]1(CC)CCOCC1,CC[C@H](C)[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.CC[C@H](C)[C@@H](C(=O)[O-])NC(=O)C,313.15,101.325,C15H30N2O4,15,30,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-isoleucinate,N-ethyl-N-methylmorpholinium,N-acetyl-L-isoleucinate,0.556,556,6.320768294,C[N+]1(CC)CCOCC1,CC[C@H](C)[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.CC[C@H](C)[C@@H](C(=O)[O-])NC(=O)C,318.15,101.325,C15H30N2O4,15,30,2,4,0,0,0,0,0,0
