new_cation,new_anion,IL_SMILES,Experimental logEC50,MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I
CCOC(=O)C[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOC(=O)C[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.53,C10H18F6N2O6S2,10.0,18.0,2.0,6.0,2.0,0.0,6.0,0.0,0.0,0.0
CCCn1cc[n+](CC)c1,[Br-],CCCn1cc[n+](CC)c1.[Br-],3.6,C8H15BrN2,8.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CCCCCCCC[n+]1cccc2ccccc21,[Br-],CCCCCCCC[n+]1cccc2ccccc21.[Br-],-0.03,C17H24BrN,17.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CCCCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,3.0,C9H15F3N2O3S,9.0,15.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0
CCOCCn1cc[n+](C)c1,[Br-],CCOCCn1cc[n+](C)c1.[Br-],4.139879086,C8H15BrN2O,8.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
C[n+]1ccn(CC#N)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.900367129,C8H8F6N4O4S2,8.0,8.0,4.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
C[N+]1(CC#N)CCCC1,[Cl-],C[N+]1(CC#N)CCCC1.[Cl-],4.23,C7H13ClN2,7.0,13.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCn1cc[n+](C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,2.0,C12H11F18N2P,12.0,11.0,2.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0
OCC[NH2+]CCO,CC(=O)[O-],OCC[NH2+]CCO.CC(=O)[O-],4.032215703,C6H15NO4,6.0,15.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.64,C14H23F6N3O4S2,14.0,23.0,3.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
C[N+]1(CCO)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+]1(CCO)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.18,C9H16F6N2O6S2,9.0,16.0,2.0,6.0,2.0,0.0,6.0,0.0,0.0,0.0
CC[S+](C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[S+](C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.48,C7H13F6NO4S3,7.0,13.0,1.0,4.0,3.0,0.0,6.0,0.0,0.0,0.0
CCCCCCCCC=CCCCCCCCC1=[N+](CC)CCN1CCO,CCOS(=O)(=O)[O-],CCCCCCCCC=CCCCCCCCC1=[N+](CC)CCN1CCO.CCOS(=O)(=O)[O-],0.068185862,C26H52N2O5S,26.0,52.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
CCCCCCCCCCCOC[n+]1cccc(O)c1,[Cl-],CCCCCCCCCCCOC[n+]1cccc(O)c1.[Cl-],1.6,C17H30ClNO2,17.0,30.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCCCCC[n+]1ccc(C)cc1,[Cl-],CCCCCCCC[n+]1ccc(C)cc1.[Cl-],2.97,C14H24ClN,14.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCCCCC[N+]1(C)CCCC1,[Cl-],CCCCCCCC[N+]1(C)CCCC1.[Cl-],2.59,C13H28ClN,13.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.85,C12H16F6N2O4S2,12.0,16.0,2.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
CCCCCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F,CCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,2.3,C11H21F6N2P,11.0,21.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0
CCCCCC[n+]1cccc2ccccc21,F[B-](F)(F)F,CCCCCC[n+]1cccc2ccccc21.F[B-](F)(F)F,1.07,C15H20BF4N,15.0,20.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
